team1,team2,goals1,goals2,xg1,xg2,dominance_team1_xgshare,fv1,fv2,luck_match_pct,low_xg_goal_count,match_id,match_date,competition_id,season_id
Morocco,Spain,0,0,3.704374606,2.8454908599,0.565564991416353,-3.704374606,-2.8454908599,11.592830605048157,0,3869220,2022-12-06,43,106
Arsenal WFC,Reading WFC,0,0,4.451305035,1.019777936,0.8136058361012928,-4.451305035,-1.019777936,38.54518025633352,0,3764233,2020-09-06,37,90
Panama,Bolivia,0,0,1.3405597113,0.7878645950000001,0.6298366859145654,-1.3405597113,-0.7878645950000001,20.61434159333444,0,3939989,2024-07-02,223,282
ATK Mohun Bagan,Jamshedpur,0,0,0.865703953,0.565203687,0.6050033760390013,-0.865703953,-0.565203687,17.355833074265746,0,3817856,2022-03-07,1238,108
England,Germany,0,0,1.163511151,1.058547575,0.5236185422940978,-1.163511151,-1.058547575,4.510639021799974,0,3794688,2021-06-29,55,43
Japan,Spain,0,0,1.157800672,0.857712208,0.5744446902269361,-1.157800672,-0.857712208,12.95941828577553,0,3857255,2022-12-01,43,106
Arsenal WFC,Chelsea FCW,0,0,1.8563929030000001,1.381833208,0.5732746384491123,-1.8563929030000001,-1.381833208,12.781768725604747,0,3775627,2020-11-15,37,90
England Women's,Northern Ireland,0,0,3.107720163,0.3044824643,0.91076659344204,-3.107720163,-0.3044824643,45.101192380106845,0,3835335,2022-07-15,53,106
Everton LFC,West Ham United LFC,0,0,2.191244031,0.9782129,0.6913626147015153,-2.191244031,-0.9782129,27.679051576159207,0,3775620,2020-10-11,37,90
Manchester United,Bristol City WFC,0,0,1.285705238,0.8270283676,0.6085505690789018,-1.285705238,-0.8270283676,17.837559373776156,0,3775601,2021-05-02,37,90
Egypt,Mozambique,0,0,1.9291997944000001,0.728198501,0.725973143634312,-1.9291997944000001,-0.728198501,31.12692881489559,0,3920385,2024-01-14,1267,107
Argentina,Canada,0,0,1.7562350694,0.6771871380000001,0.7217140798909929,-1.7562350694,-0.6771871380000001,30.720486972414395,0,3942785,2024-07-10,223,282
Manchester City WFC,West Ham United LFC,0,0,4.778309455,0.151476985,0.9692731141919404,-4.778309455,-0.151476985,48.41495212452706,0,3775573,2021-05-09,37,90
Germany Women's,England Women's,0,0,1.758467021,1.6809909920000001,0.5112628252339709,-1.758467021,-1.6809909920000001,2.2029423376942545,0,3847567,2022-07-31,53,106
Germany Women's,WNT Finland,0,0,2.875875719,0.08057947,0.972744565755703,-2.875875719,-0.08057947,48.599044641122056,0,3835338,2022-07-16,53,106
Burkina Faso,Mauritania,0,0,1.1366585009999999,0.515656181,0.6879189015158796,-1.1366585009999999,-0.515656181,27.317013837210546,0,3920392,2024-01-16,1267,107
Barcelona,Deportivo Alavés,0,0,2.091129949,1.128524181,0.6494890024103304,-2.091129949,-1.128524181,23.016402411058387,0,3773386,2020-10-31,11,90
